BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION
TQTD,2021-01-13,TUSD ETF,TUSD,30772.0,1037234.51,0.1068,0.1068,0.1074,0.107,0.1071,0.107,9681781.0,7.9563,7.9563,0.107,77031523.65,77031523.65,77031523.65,899815.26,3
TQBR,2021-01-13,ТЗА ао,TUZA,34.0,189440.0,100.0,99.0,101.0,101.0,100.0,101.0,1890.0,,100.0,101.0,0.0,514600.0,0.0,0.0,3
TQBR,2021-01-13,ОКС ао,UCSS,3.0,6960.0,1380.0,1380.0,1400.0,1390.0,1390.0,1400.0,5.0,,1390.0,1390.0,0.0,507460.0,0.0,0.0,3
TQBR,2021-01-13,ЮжКузб. ао,UKUZ,1627.0,9452890.0,536.0,536.0,694.0,608.0,624.0,608.0,15127.0,624.0,624.0,608.0,9452890.0,9452890.0,9452890.0,0.0,3
TQBR,2021-01-13,iАвиастКао,UNAC,8137.0,77170411.0,0.411,0.4055,0.5035,0.446,0.4585,0.446,168376000.0,0.4585,0.4585,0.446,77170411.0,77170411.0,77170411.0,0.0,3
TQBR,2021-01-13,ЮУНК ао,UNKL,398.0,5826210.0,8880.0,8440.0,8900.0,8640.0,8610.0,8640.0,677.0,8610.0,8610.0,8640.0,5826210.0,5826210.0,5826210.0,0.0,3
SMAL,2021-01-13,Юнипро ао,UPRO,30.0,3636.62,2.905,2.702,2.938,,2.888,2.911,1324.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2021-01-13,Юнипро ао,UPRO,5723.0,230293879.0,2.892,2.867,2.913,2.88,2.888,2.896,79729000.0,2.889,2.889,2.88,210195508.0,210195508.0,210195508.0,0.0,3
TQBR,2021-01-13,УрКузница,URKZ,46.0,2059860.0,16960.0,16960.0,17680.0,17160.0,17460.0,17160.0,118.0,17460.0,17460.0,17160.0,2059860.0,2059860.0,2059860.0,0.0,3
TQBR,2021-01-13,УралСиб ао,USBN,84.0,1499408.0,0.0693,0.069,0.0705,0.0702,0.0697,0.0702,21500000.0,0.0697,0.0697,0.0702,1499408.0,1499408.0,1499408.0,0.0,3
TQBR,2021-01-13,ЮТэйр ао,UTAR,52.0,344798.0,6.83,6.82,6.89,6.84,6.84,6.86,50400.0,,6.84,6.84,0.0,521172.0,0.0,0.0,3
TQBR,2021-01-13,ОВК ао,UWGN,4061.0,23539642.4,142.4,139.7,144.4,140.0,141.3,140.0,166579.0,141.3,141.3,140.0,23539642.4,23539642.4,23539642.4,0.0,3
TQBR,2021-01-13,ВолгЭнСб,VGSB,56.0,687080.0,3.555,3.555,3.745,3.625,3.635,3.645,189000.0,3.635,3.635,3.625,687080.0,687080.0,687080.0,0.0,3
TQBR,2021-01-13,ВолгЭнСб-п,VGSBP,16.0,53780.0,1.8,1.78,1.8,1.785,1.795,1.785,30000.0,,1.8,1.785,0.0,509190.0,0.0,0.0,3
TQBR,2021-01-13,Варьеган,VJGZ,1678.0,13722600.0,861.0,834.0,1154.0,1154.0,1058.0,1154.0,12974.0,1058.0,1058.0,1154.0,13722600.0,13722600.0,13722600.0,0.0,3
SMAL,2021-01-13,Варьеган-п,VJGZP,1.0,477.0,477.0,477.0,477.0,,528.0,477.0,1.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2021-01-13,Варьеган-п,VJGZP,1232.0,18907730.0,415.0,415.0,578.0,578.0,528.0,578.0,35780.0,528.0,528.0,578.0,18907730.0,18907730.0,18907730.0,0.0,3
TQBR,2021-01-13,ВХЗ-ао,VLHZ,417.0,5084192.5,76.1,76.1,81.4,79.5,78.35,79.5,64880.0,78.35,78.35,79.5,5084192.5,5084192.5,5084192.5,0.0,3
TQBR,2021-01-13,ТНСэнВорон,VRSB,32.0,363700.0,70.8,67.6,70.8,68.8,68.6,69.2,5300.0,,68.6,68.8,0.0,500740.0,0.0,0.0,3
TQBR,2021-01-13,ТНСэнВор-п,VRSBP,12.0,108100.0,43.5,43.0,43.5,43.0,43.0,43.5,2500.0,,43.5,43.0,0.0,506200.0,0.0,0.0,3
TQBR,2021-01-13,ВСМПО-АВСМ,VSMO,278.0,25823160.0,20520.0,20520.0,20760.0,20680.0,20680.0,20680.0,1249.0,20680.0,20680.0,20680.0,25823160.0,25823160.0,25823160.0,0.0,3
