timestamp,open (RUB),high (RUB),low (RUB),close (RUB),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2020-06-13,661080.13120000,663159.41685000,653120.59500000,661665.43230000,9464.96000000,9494.73000000,9351.00000000,9473.34000000,27759.78485100,27759.78485100
2020-06-14,667753.94791800,668293.17882300,651658.78650000,658503.14217000,9473.34000000,9480.99000000,9245.00000000,9342.10000000,30055.50660800,30055.50660800
2020-06-15,650623.08082000,661271.67900000,620561.16189000,656467.62208400,9342.10000000,9495.00000000,8910.45000000,9426.02000000,86107.92470700,86107.92470700
2020-06-16,655143.46617500,666469.06150000,651462.56081500,662061.84456500,9426.05000000,9589.00000000,9373.09000000,9525.59000000,52052.44692700,52052.44692700
2020-06-17,663393.40740400,666041.55800000,643174.71145200,659087.98664800,9526.97000000,9565.00000000,9236.61000000,9465.14000000,48046.41115200,48046.41115200
2020-06-18,658046.12601600,659705.64480000,645175.29600000,652567.00262400,9465.13000000,9489.00000000,9280.00000000,9386.32000000,37381.95376500,37381.95376500
2020-06-19,651786.06080000,655395.55200000,639944.45760000,646502.37120000,9386.32000000,9438.30000000,9215.79000000,9310.23000000,45330.98367300,45330.98367300
2020-06-20,645431.69475000,651308.37500000,635776.10875000,648809.20875000,9310.23000000,9395.00000000,9170.95000000,9358.95000000,30329.06538400,30329.06538400
2020-06-21,650585.53746000,654968.44560000,645204.39679200,646118.51641200,9358.95000000,9422.00000000,9281.54000000,9294.69000000,24316.92623400,24316.92623400
2020-06-22,641333.05231900,674819.41320000,640118.65337500,668312.02885900,9294.69000000,9780.00000000,9277.09000000,9685.69000000,57895.46834300,57895.46834300
2020-06-23,665865.03613700,668223.75600000,658394.95451900,661685.20029700,9685.69000000,9720.00000000,9577.03000000,9624.89000000,41031.02938000,41031.02938000
2020-06-24,670062.21596100,673241.83900000,641076.61360000,647237.43783300,9624.33000000,9670.00000000,9208.00000000,9296.49000000,61571.56146400,61571.56146400
2020-06-25,642262.61825700,645140.88600000,622325.41640100,638889.09782100,9298.33000000,9340.00000000,9009.69000000,9249.49000000,55831.61915600,55831.61915600
2020-06-26,644929.93974000,648312.34800000,630703.04670000,638844.25446000,9249.49000000,9298.00000000,9045.45000000,9162.21000000,50292.29827700,50292.29827700
2020-06-27,638844.25446000,641217.03024000,615889.75800000,628370.71200000,9162.21000000,9196.24000000,8833.00000000,9012.00000000,46290.93011300,46290.93011300
2020-06-28,628499.58360000,640983.09730000,624040.38881800,635776.98390500,9012.00000000,9191.00000000,8948.06000000,9116.35000000,30688.17642100,30688.17642100
2020-06-29,640171.39660800,648727.46440000,633746.62114600,645536.49492800,9116.16000000,9238.00000000,9024.67000000,9192.56000000,42120.29326100,42120.29326100
2020-06-30,651859.63478400,652715.50400000,642780.47203200,648003.61424000,9192.93000000,9205.00000000,9064.89000000,9138.55000000,31463.16280100,31463.16280100
2020-07-01,645172.75529300,656039.91672000,641079.21306600,651803.75712000,9138.08000000,9292.00000000,9080.10000000,9232.00000000,38488.52869900,38488.52869900
2020-07-02,649214.86269700,651322.42232800,628681.45140000,638986.48270700,9231.99000000,9261.96000000,8940.00000000,9086.54000000,45725.16807600,45725.16807600
2020-07-03,648324.62900000,651068.75000000,644823.48450000,646306.85100000,9086.54000000,9125.00000000,9037.47000000,9058.26000000,28943.42017700,28943.42017700
2020-07-04,646273.31650000,655706.50000000,645006.85400000,651815.07100000,9057.79000000,9190.00000000,9040.04000000,9135.46000000,26441.96848400,26441.96848400
2020-07-05,647812.17900000,648538.35269600,630652.77966200,643160.83791400,9135.00000000,9145.24000000,8893.03000000,9069.41000000,34073.65362700,34073.65362700
2020-07-06,653559.82342000,675581.25000000,652587.70704000,673361.74040000,9069.41000000,9375.00000000,9055.92000000,9344.20000000,54463.13227700,54463.13227700
2020-07-07,668090.02614300,670732.36017900,658116.37721000,662005.86430700,9342.47000000,9379.42000000,9203.00000000,9257.39000000,34587.33667800,34587.33667800
2020-07-08,657340.20180000,672436.29000000,655465.61700000,670026.31242000,9257.40000000,9470.00000000,9231.00000000,9436.06000000,56140.51778100,56140.51778100
