timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2016-04-20,630.0000,636.5500,623.0000,632.9900,632.9900,2609425,0.0000,1.0000
2016-04-21,631.0000,637.8200,628.5000,631.0000,631.0000,2596298,0.0000,1.0000
2016-04-22,624.4700,628.2500,611.5600,620.5000,620.5000,5083904,0.0000,1.0000
2016-04-25,616.6100,626.9800,616.2511,626.2000,626.2000,2682924,0.0000,1.0000
2016-04-26,626.1700,626.7549,614.8800,616.8800,616.8800,2521433,0.0000,1.0000
2016-04-27,611.8000,615.9500,601.2800,606.5700,606.5700,4068767,0.0000,1.0000
2016-04-28,615.5400,626.8000,599.2000,602.0000,602.0000,7872605,0.0000,1.0000
2016-04-29,666.0000,669.9800,654.0000,659.5900,659.5900,10310739,0.0000,1.0000
2016-05-02,663.9200,685.5000,662.0251,683.8500,683.8500,6578517,0.0000,1.0000
2016-05-03,677.3600,680.3000,670.4300,671.3200,671.3200,4923351,0.0000,1.0000
2016-05-04,662.5900,674.0000,662.1400,670.9000,670.9000,4635462,0.0000,1.0000
2016-05-05,673.3100,676.4900,656.0000,659.0900,659.0900,4884114,0.0000,1.0000
2016-05-06,656.0500,676.9500,656.0100,673.9500,673.9500,4365345,0.0000,1.0000
2016-05-09,673.9500,686.9800,671.4100,679.7500,679.7500,3982161,0.0000,1.0000
